ID	grooming	start_time	end_time	duration
1	2	26.486	27.000	0.514
2	2	34.486	39.351	4.865
3	2	40.270	40.622	0.352
4	2	45.541	45.946	0.405
5	2	91.405	92.216	0.811
6	2	152.297	152.865	0.568
7	2	171.838	172.378	0.540
8	3	210.514	211.946	1.432
9	2	220.568	221.568	1.000
10	1	221.568	223.838	2.270
11	3	223.865	225.297	1.432
12	2	225.351	226.973	1.622
13	3	227.000	227.703	0.703
14	5	227.757	228.811	1.054
15	2	229.649	230.054	0.405
16	2	230.676	231.324	0.648
17	3	360.622	361.892	1.270
18	3	453.432	459.730	6.298
19	2	459.730	462.919	3.189
20	3	462.919	464.081	1.162
21	5	464.081	467.838	3.757
22	5	475.270	479.162	3.892
23	2	485.459	491.297	5.838
24	3	491.324	498.892	7.568
25	2	500.243	500.865	0.622
26	2	501.595	501.946	0.351
27	3	522.432	527.676	5.244
28	2	528.135	529.081	0.946
29	2	529.459	530.270	0.811
30	2	568.622	569.676	1.054
31	1	657.649	659.243	1.594
32	2	678.135	679.108	0.973
33	3	680.108	682.135	2.027
34	2	682.162	683.622	1.460
35	3	683.649	686.838	3.189
36	2	687.757	689.081	1.324
37	3	690.541	706.541	16.000
38	2	706.568	712.784	6.216
39	3	712.838	714.946	2.108
40	2	715.000	717.865	2.865
41	3	717.919	719.514	1.595
42	5	719.595	721.108	1.513
43	2	721.216	721.703	0.487
44	3	721.784	726.405	4.621
45	4	726.459	731.838	5.379
46	3	731.973	737.919	5.946
47	2	737.946	739.973	2.027
48	3	740.027	756.270	16.243
49	2	756.270	758.541	2.271
50	3	758.622	779.270	20.648
51	2	779.297	784.000	4.703
52	3	784.108	785.027	0.919
53	2	785.027	790.432	5.405
54	3	790.432	791.027	0.595
55	5	791.054	792.135	1.081
56	2	792.216	792.811	0.595
57	2	807.297	807.676	0.379
58	2	940.189	940.432	0.243
59	2	967.676	969.000	1.324
60	4	1084.595	1084.973	0.378
61	3	1090.757	1092.000	1.243
62	2	1376.135	1376.568	0.433
63	1	1439.054	1439.433	0.379
64	1	1443.054	1446.081	3.027
65	3	1555.054	1558.324	3.270
66	2	1558.405	1562.514	4.109
67	3	1562.568	1565.676	3.108
68	2	1565.703	1569.162	3.459
69	3	1569.243	1570.189	0.946
70	2	1570.243	1571.514	1.271
71	3	1571.541	1596.568	25.027
72	2	1604.730	1605.270	0.540
73	2	1642.757	1643.919	1.162
74	2	1742.730	1743.487	0.757
75	1	1743.514	1747.297	3.783
76	2	1747.324	1749.054	1.730
77	3	1749.054	1750.514	1.460
78	5	1750.514	1751.649	1.135
79	3	1752.622	1800.027	47.405
